acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.29,0.44,0.83,-2.63,0.52,0.52
0.3,0.44,0.83,-2.49,0.79,0.72
0.29,0.43,0.83,-1.77,0.69,1.15
0.29,0.43,0.83,-1.02,0.72,1.85
0.3,0.43,0.83,-0.38,0.93,2.31
0.3,0.44,0.83,-0.52,0.99,2.53
0.3,0.43,0.83,-0.26,0.92,2.66
0.3,0.44,0.84,-0.37,0.78,2.64
0.29,0.43,0.83,0.12,0.78,2.35
0.29,0.44,0.84,0.03,1.15,2.32
0.3,0.44,0.82,-0.47,0.9,2.17
0.29,0.44,0.83,-0.52,0.75,1.65
0.3,0.43,0.84,-0.23,0.7,1.57
0.3,0.43,0.83,-0.66,0.9,0.95
0.29,0.44,0.83,-0.95,0.92,0.41
0.29,0.44,0.84,-1.04,0.87,0.17
0.3,0.43,0.82,-0.95,0.82,0.15
0.31,0.44,0.83,-1.01,0.9,0.09
0.3,0.44,0.83,-0.64,0.7,0.02
0.29,0.44,0.83,-0.2,1.01,0.53
0.29,0.43,0.83,0.32,0.87,0.67
0.3,0.44,0.83,-0.05,0.78,0.78
0.29,0.44,0.83,-0.4,0.76,1.07
0.29,0.43,0.83,-0.06,0.64,1.13
0.29,0.44,0.83,0.23,0.06,1.3
0.29,0.43,0.84,0.67,-0.17,1.6
0.29,0.43,0.83,0.72,0.09,1.76
0.29,0.44,0.83,0.99,0.29,1.74
0.29,0.44,0.83,0.84,0.32,1.98
0.3,0.44,0.83,1.08,0.17,1.89
0.3,0.44,0.83,1.44,0.31,1.94
0.3,0.44,0.83,1.57,0.69,2.0
0.3,0.44,0.83,1.3,1.04,1.89
0.29,0.44,0.83,1.28,1.08,1.76
0.29,0.44,0.84,1.08,0.58,2.0
0.3,0.44,0.83,1.05,0.84,1.8
0.3,0.44,0.83,0.61,0.27,1.71
0.3,0.43,0.83,0.67,0.44,1.56
0.3,0.44,0.83,0.43,0.58,1.77
0.3,0.44,0.83,0.0,0.63,1.5
0.3,0.44,0.83,-0.55,0.82,1.18
0.3,0.44,0.83,-0.69,1.1,0.89
0.3,0.43,0.83,-0.34,1.51,0.84
0.3,0.44,0.82,-0.2,1.65,0.75
0.3,0.43,0.83,-0.43,1.44,0.67
0.3,0.44,0.83,-0.02,1.69,0.41
0.3,0.44,0.83,0.31,1.56,0.4
0.29,0.44,0.84,0.17,1.66,0.73
0.3,0.44,0.83,0.18,1.73,1.16
0.31,0.43,0.83,-0.2,1.42,1.25
0.29,0.44,0.83,-0.37,1.18,1.48
0.29,0.44,0.83,-0.08,1.59,1.82
0.28,0.44,0.83,-0.29,0.87,1.71
0.28,0.44,0.83,-0.37,0.67,2.15
0.29,0.43,0.83,0.35,0.87,2.99
0.3,0.42,0.82,0.49,1.62,3.08
0.3,0.42,0.83,0.44,1.95,2.64
0.3,0.42,0.83,0.92,1.04,2.4
0.3,0.44,0.83,1.05,0.5,1.92
0.29,0.44,0.83,1.22,0.15,1.88
0.31,0.45,0.83,1.13,0.2,2.03
0.31,0.45,0.82,0.89,0.69,2.18
0.3,0.45,0.82,0.14,0.76,1.59
0.3,0.44,0.83,0.41,1.25,0.67
0.3,0.44,0.83,-0.05,1.5,0.24
0.3,0.44,0.84,-0.2,2.0,-0.2
0.29,0.44,0.84,-0.47,1.82,-0.31
0.28,0.43,0.83,-0.26,1.77,0.08
0.28,0.44,0.83,-0.23,1.8,0.5
0.3,0.44,0.84,0.0,1.59,0.85
